Data = Sun, 19 May 2019 22:05:13 | IP = ('127.0.0.1', 65310) | URL = htdocs/audios/Lost_in_Space.mp3
Data = Sun, 19 May 2019 22:05:17 | IP = ('127.0.0.1', 65313) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:05:20 | IP = ('127.0.0.1', 65313) | URL = htdocs/public/images.html
Data = Sun, 19 May 2019 22:05:21 | IP = ('127.0.0.1', 65313) | URL = htdocs/images/image.png
Data = Sun, 19 May 2019 22:05:21 | IP = ('127.0.0.1', 65315) | URL = htdocs/images/cat.gif
Data = Sun, 19 May 2019 22:05:21 | IP = ('127.0.0.1', 65314) | URL = htdocs/images/image.jpg
Data = Sun, 19 May 2019 22:05:24 | IP = ('127.0.0.1', 65315) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:05:27 | IP = ('127.0.0.1', 65315) | URL = htdocs/public/video.html
Data = Sun, 19 May 2019 22:05:28 | IP = ('127.0.0.1', 65315) | URL = htdocs/videos/spider_man.mp4
Data = Sun, 19 May 2019 22:05:31 | IP = ('127.0.0.1', 65313) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:05:33 | IP = ('127.0.0.1', 65313) | URL = htdocs/public/form.html
Data = Sun, 19 May 2019 22:05:42 | IP = ('127.0.0.1', 65313) | URL = 
Data = Sun, 19 May 2019 22:05:46 | IP = ('127.0.0.1', 65313) | URL = htdocs/public/form.html
Data = Sun, 19 May 2019 22:05:49 | IP = ('127.0.0.1', 65313) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:05:53 | IP = ('127.0.0.1', 65313) | URL = htdocs/private/file.html
Data = Sun, 19 May 2019 22:05:56 | IP = ('127.0.0.1', 65318) | URL = htdocs/index.html
Data = Sun, 19 May 2019 22:05:59 | IP = ('127.0.0.1', 65318) | URL = htdocs/public/no-file.html
Data = Sun, 19 May 2019 22:06:02 | IP = ('127.0.0.1', 65319) | URL = htdocs/index.html
